,Magid,Patent,Paper Title,1. Assignee-Affiliation overlap,2. Patenting with different org name (if found),3. Author-inventor name overlap,4. Temporal overlap w/ application year,"5. (If no overlap with application year)
Temporal overlap w/ priority application year",6. Content overlap,"Patent-paper pair
(Confidence level 0 to 5)",Note,Incomplete paper title (1/0),No patent ID in Google (1/0),Document type (only if it is not an research article),"Coverage
(2- full, 1- partial, 0- not a PPP)"
15,1558673401,US-7265890,electrochromic devices for satellite thermal control,1,,2,1,,3,5,"# All the information matched perfectly.
# The patent and the paper talked about the same electrochromic device for modulating infrared emissivity.
# The patent has a similar title to that of the paper, allowing for some changes of words that have similar meaning.",0,0,,2
16,1569667454,US-8680339,acetyl coa carboxylase inhibitors,,,,,,,,"# The tile of the paper seems to be incomplete. There are no perfect match for this paper on google scholar, and many papers have this as part of their paper tile.",1,0,,
17,1572223867,US-7657427,noise reduction method for wideband speech coding,0,0,2,1,,1,3,"# All the information mathced,but the paper only covers one of the many technologies that the authors developed.",0,0,,1
18,1585244321,US-7678050,a new technique for improved spatial resolution in high frame rate color doppler imaging,1,,1,1,,0,0,"# All the information matched
# The patent is about detecting heart events, but the paper about image resolution.",0,0,,0
19,1592161108,US-7697753,multimedia content filtering browsing and matching using mpeg 7 compact color descriptors,1,,2,1,,1,1,"# All the information matched.
# The paper is about image descriptions of colors, but the patent is about shape descriptions.
# The two were both about image descriptions.",0,0,,0
20,1606668717,US-8396247,human motion simulation and action corpus,0,1,1,1,,1,2,"# Although the assignee does not match the affiliation information, the author held visiting positions at the assignee at the time of patent application.
# Other information matched perfectly.
# The paper was about using generating computer simulation to train ML models of human motion, but the patent a system which determines the action of an object. Some links were found, but too tenuous to generate a high score. ",0,0,,1
21,1642408345,US-5231669,speech codec for the european mobile radio system,1,,4,1,,1,1,"# All the information matched.
# This not how they developed the patent, but where they introduce and explain the new system in Europe.",0,0,,0
22,1807136536,US-4628030,pseudomonas aeruginosa biosurfactant production in continuous culture with glucose as carbon source,0,,4,1,,2,5,"# The author has little trace on the internet, and no direct information of him affiliated with the assignee institution was ever found.
# Other information matched greatly.
# The paper and the patent was both about the production technology of a certain biosurfactant.",0,0,,2
23,1871217593,US-9198939,comparison of cryopreserved amniotic membrane and umbilical cord tissue with dehydrated amniotic membrane chorion tissue,1,,3,1,,1,2,"# Google patents reports no findings under this patent number. And there is no patent with such patent number can be find exactly on the internet, similar results with suffixes. After comparisons, the matching patent number appears to be ""US9198939B2"".
# All the information matched.
# The paper was about the advantage of cyropreservation of amniotic membrane and umbilical cord tissue, but the patent is about how to produce AM and its usage.",0,0,,1
24,1908612571,US-5840486,inactivation of glycogen synthase kinase 3 beta by phosphorylation new kinase connections in insulin and growth factor signalling,0,0,0,1,,0,0,"# The authot name does not match at all, and the topics are in different subfield of biology.",0,0,,0
25,1911020513,US-10114090,improving slab excitation by parallel transmission,1,,6,1,,1,1,"# All the information matched.
# The paper was not the main paper where the authors developed the main technology of the patent. That system was traced back to a previous paper by the authors, and this paper is only about a single application of the system.",0,0,,1
26,1914494089,US-7570368,in situ strain measurement during epitaxy of inp based materials,0,0,4,1,,2,5,"# The assignee was a different company from the authors'affiliation. No direct ownership overlap was found, but many news was about the asigness purchasing production line or technologies from the affiliation. The conjecture is that the affiliation company sold this technology to the assignee.
# Other information matched.
# The paper and the patent were both about a specific instrument developed by the authors to measure the curvature.",0,0,,2
27,1937778026,US-5909119,visual pattern based object recognition system,0,0,1,1,,0,0,"# The patent was developed by a Japanese Government-funded research institution and then sold to Toshiba.
# The paper and the patent were divergent in nature. The paten was about an apparatus that allows MRI to generate different images of fat and water, but the paper was about how the guiding princple of the institution can be applied to object recognition.",0,0,,0
28,1958996240,US-5977304,characterization of pertussis toxin analogs containing mutations in b oligomer subunits,1,,3,1,,0,0,"# All the information matched.
# Although the paper and the patent were both about Pertussis Toxin, one is about the crystal structure of PT, the other genome. ",0,0,,0
29,1963691243,US-9109234,a nonintegrative lentiviral vector based vaccine provides long term sterile protection against malaria,1,,4,1,,3,5,"# All the information matched.
# The patent and the paper were both about using lentiviral vector to produce a vaccine that can be long-term resistant towards Malaria.",0,0,,2
30,1964835694,US-4704362,rapid synthesis of trideoxyribonucleotide blocks,0,1,1,1,,0,0,"# The assignee company contracted the author to develop coloning technologies.
# Although the paper and the patent were both about coloning, the paper was in the molecular level, but the patent was using microbial tools.
# Other information matched.",0,0,,0
31,1964891662,US-8133900,decreased differentiation of erythroid cells exacerbates ineffective erythropoiesis in β thalassemia,1,,1,1,,0,0,"# All the information matched.
# The paper was about one pathological factor of thalassemia, but the patent was about using one special chemical compound to treat rheumatological diseases.",0,0,,0
32,1965215772,US-10918765,a rapid lung de cellularization protocol supports embryonic stem cell differentiation in vitro and following implantation,1,,1,1,,2,4,"# All the information matched perfectly.
# The paper and the patent both proposes a way for the decellularization and recullarization of human organ cells. But the paper was focused on lungs.",0,0,,1
33,1966191748,US-7463329,frozen light in periodic stacks of anisotropic layers,1,,4,1,,3,5,"# All the information matched perfectly.
# The paper and the patent were both about the crystal physics of certain materials that can exhibit effects required by freezing light.",0,0,,2
34,1966457193,EP-2798061-B1,rna interference for the control of whiteflies bemisia tabaci by oral route,1,,4,1,,0,0,"# All the information matched.
# The patent and the paper described different ways to kill pesticides. One is about using a special chemical compound to kill, but the other is using RNA to interfere.",0,0,,0
35,1966801382,US-7332381,a cpu on a plastic film substrate,1,,4,1,,0,0,"# All the information matched.
# The paper discussed how to build a CPU on a plastic film substrate, but the patent is about how not to use a plastic film.",0,0,,0
36,1968236591,US-6030955,patterns of intracellular compartmentalization trafficking and acidification of 5 fluorescein labeled phosphodiester and phosphorothioate oligodeoxynucleotides in hl60 cells,1,,1,1,,0,0,"# All the information matched.
# The paper was about the compartmentalization and trafficking of oligodeoxynucleotides, but the patent was about about a method to stimulating or inhibiting phosphorylation of tyrosine.",0,0,,0
37,1968786426,US-10343916,large area chemically modified graphene films electrophoretic deposition and characterization by soft x ray absorption spectroscopy,1,,4,1,,3,5,"# All the information matched.
# The paper and the patent are both about the fabrication of graphene films using a electrophoretic deposition approach.",0,0,,2
38,1969416735,US-7364911,evaluation of two dimensional gel electrophoresis based proteome analysis technology,1,,1,1,,0,0,"# All the information matched.
# The paper was about identifying proteomeusing a 2D gel electrophoresis, but the patent was more about how to compose a chemical group to help label a molecule.",0,0,,0
39,1971416592,US-9770535,infection mimicking materials to program dendritic cells in situ,1,,4,1,,0,0,"# All the information matched.
# The paper proposed a way to traffic and activate inmmune cells to attack cancer cells, but the patent is about how to use scaffold compositions to capture and eliminate certain cells.",0,0,,0
40,1972092275,US-7648996,566 novel mtor inhibitors with improved pharmacological properties over rapamycin,1,,3,1,,2,5,"# The paper ID listed here is not a paper but a academic poster.
# All the information matched, and both the paper and the patent were about using a special inhibitor for pharmaceutical uses.",0,0,Academic poster,2
41,1972658646,US-7652136,efficient organic light emitting diodes based on sublimable charged iridium phosphorescent emitters,1,,4,1,,3,5,"# All the information matched.
# The paper and the patent both discussed how to use certain chemical complexes to make light-emitting diodes.",0,0,,2
42,1973858142,US-8207263,amphipathic polymers tools to fold integral membrane proteins to their active form,1,,1,1,,1,3,"# All the information matached
# The paper and the patent concerns hydrophiphilic molecules, but have different usages.",0,0,,1
43,1974406516,US-7060477,microbiological transformations part 42 a two liquid phase preparative scale process for an epoxide hydrolase catalysed resolution of para bromo α methyl styrene oxide occurrence of a surprising enantioselectivity enhancement,1,,3,1,,1,2,"# All the information matched.
# The paper and the patent both talked about the selection and extraction of certain proteins, but the patent was focused on the extraction of proteins of fungal origin using nucleotide sequence coding, the paper about one special resolution.",0,0,,1
44,1974803838,US-5482843,a versatile shuttle cosmid vector for use in escherichia coli and actinomycetes,1,,2,1,,0,0,"# All the information matched.
# The paper was about a shuttle cosmid vector for two types of bacteria, but the patent was about documenting one specific kind of enzyme.",0,0,,0
45,1975126531,US-8136384,evolution of innovative test methodology for evaluation of hardfacing materials in both cased and open hole environments,1,,1,1,,2,0,"# This paper is not where the authors developed the technology, but where they are trying to introduce and advertise their idea.",0,0,,0
46,1977577869,US-9155716,aqueous humor penetration of topical bimatoprost 0 01 and bimatoprost 0 03 in rabbits response to authors,1,,3,1,,0,0,# The paper was a commentary letter of another paper.The authors developed no technology here.,0,0,Commentary letter,0
47,1977591152,US-6751637,logical vs physical file system backup,1,,1,1,,1,1,"# All the information matched.
# The paper and the patent were both about file systems. While the paper was comparing two 
methods od backup, the patent came up with a way to allocate files.",0,0,,0
48,1978285438,US-5784239,protective relaying theory and applications,,,,,,,0,"#This is a book, and I think this should not constitute a PPP.",0,0,Book (possibly textbook),0
49,1979262978,US-4839702,ohmic superconducting shallow auge nb contacts to gaas,1,,1,1,,0,0,"# All the information matched.
# While the patent is about a special structure to build a semiconductor, the paper was about building special contacts.",0,0,,0
50,1984068758,US-10084102,sensitive room temperature terahertz detection via the photothermoelectric effect in graphene,1,,4,1,,3,5,"# All the information mathced
# The patent and the paper are both about using a graphene photodetector for terahertz with room-temperarture sensitivity.",0,0,,2
51,1984581820,US-9212828,steady state nonequilibrium temperature gradients in hydrogen gas metal systems challenging the second law of thermodynamics,0,0,2,1,,0,0,"# The assignee and the affiliation do not match, and there is no trace on the internet suggesting that the author should affiliate with the company.
# The paper was about how a certain gas-metal system could challenge the second law of thermo dynamics, but the patent was about how to build epicatalytic thermal diode.",0,0,,0
52,1984714399,FR-3003038-A1,a simplified electrochemical and thermal aging model of lifepo4 graphite li ion batteries power and capacity fade simulations,1,,3,1,,1,1,"# All the information matched perfectly. Patent filed the same year as the paper published.
# The paper was about building a model to theorize the aging of batteries using some specific measures, but the paper was about using some measurements (not mentioned in the paper) to decide the residual capacity of the batteries.
# The patent was in French (which I cannot read and appologize for), but google presented an English translation that seems very reliabel.",0,0,,0
53,1985307601,US-10890618,modelling effect of parasitics in plasmonic fets,0,0,1,,,1,1,"# The patent was owned by the United States army, and the author was a physics professor at RIT. No direct trace can be found that he was ever affiliated with the Army, so the conjecture here is that the patent is either acquired or funded by the army.
# The paper was about how to use a terahert model to measure parasitics. The patent also used terahertz plasonics, but for testing large-scale intergrated circuits under bias. similar keywords were found, but not enough to constisute a patent paper pair.",0,0,,0
54,1988600988,US-8391353,bit depth scalability compatible to h 264 avc scalable extension,1,,3,1,,1,3,"# All the information matched perfectly. Both were filed at the same year.
# The patent was about building a bit-depth scalability coding solution for videos, and the paper was about one crucial part of building that coding solution. ",0,0,,1
55,1988658450,US-6867333,cloning functional expression and characterization of recombinant pig liver esterase,0,0,1,1,,0,0,"# There is no evidence online suggest that the auhot be ever affiliated with the assignee company.
# The paper was about the genomics studies of pig liver esterase, but the patent was about using synthetic bioengineering to produce a chemical compound.",0,0,,0
56,1989812564,US-6020122,antibody to hepatitis c virus second envelope hcv e2 glycoprotein a new marker of hcv infection closely associated with viremia,1,,3,1,,2,4,"# All the information matched perfectly, and the patent was filed at the same year as the paper was published with the patent mentioning the paper.
# Both were about the Hep-C Virus Second Envelope Glycoprotein, with the paper more focused on how to use that system to detect Hep-C. Full technolgy was coveredm with a little variation in content.",0,0,,2
57,1990990140,US-9486439,activation of neurokinin 1 receptors increases the excitability of guinea pig dorsal root ganglion cells,0,0,0,1,,1,0,"# The authors of the paper and the inventors of the patent does not match at all. 
# The patent and the paper were both about using NK-1 receptors, but for entirely different purposes.",0,0,,0
58,1991561423,US-7887773,selective etching of metallic carbon nanotubes by gas phase reaction,0,0,0,1,,1,0,"# No author names in the paper appear in the patent, and the assignee company is different from the affiliation of paper authors. 
# The paper and the patent were both about carbon nanotubes, but for different research matter.",0,0,Scientific report,0
59,1993268751,US-7882151,inverting schema mappings,1,,1,1,,3,5,"# All the information matched perfectly.
# In the paper the author developed a formal definition of inverting schema mappings and provided a algorithm for doing so, and the patent was about how to process a schema mapping.
# Similar abstracts and similar titles.",0,0,,2
60,1994203471,US-4635068,reflection charts relating to impedance matching,0,1,1,1,,0,0,"# All the information matched.
# The paper was about some certain charts used for measuring impedance, but the patent was about a special apparatus.
# The author was a employee at the assignee company.",0,0,,0
61,1995112409,US-8895900,evaluation of a silver nanoparticle generator using a small ceramic heater for inactivation of s epidermidis bioaerosols,1,,4,1,,1,1,"# All the information matched.
# The patent was about building a nano particle generator, but the paper was about the evaluation of this generator. The paper was not where they developed the technology, but where they provided validation for the generator. This canno consitute a PPP.",0,0,,0
62,1995882375,US-5770376,digitalis like and vasoconstrictor effects of endogenous digoxin like factor s from the venom of bufo marinus toad,0,0,2,1,,1,0,"# The information matched.
# The patent about how to diagnose and treat heart attacks, but the paper was about the effect of the venom from a certain kind of toad on heart activity.",0,0,,0
63,1997962977,US-5895227,ultrafast metal semiconductor metal photoconductive switches fabricated using an atomic force microscope,1,,4,1,,3,5,"# The information listed matched.
# The authors belonged to a national-funded research laboratory in Japan administered by the assignee organization.
# Both the paper and the patent was about building a photo-device, and the figure demonstrating the mechanism in the paper is the same as that in the patent.",0,0,,2
64,1998828531,US-10264276,rapid colorimetric testing for pyrazinamide susceptibility of m tuberculosis by a pcr based in vitro synthesized pyrazinamidase method,0,0,0,1,,0,0,"# All the information does not match.
# The paper was about biomedical research, but the patent was about electronics.",0,0,,0
65,1999457883,US-6106835,an epitope on membrane bound but not secreted ige implications in isotype specific regulation,1,,2,1,,1,3,"# All the information can match.
# Both the patent and the paper were about certain issues in immunology, but the the paper only covers partially of the patent.",0,0,,1
66,2002733891,US-10458038,current steering effect of gan nanoporous structure,1,,1,1,,2,3,"# All the information in both can match.
#The paper and the patent was both about the fabrication of a porous GaN. 
# The paper was more about the current steering effects of the GaN, and the patent talked more about the fabrication, the application and some peripheral technologies of GaN.",0,0,,1
67,2003300244,US-7102763,two and three dimensional numerical modeling of copper electroplating for advanced ulsi metallization,1,,3,1,,0,0,"# all the information matched.
# The paper was abour building numerical models for copper electroplation, but the patent was about the methods and apparatus for processing mircoelectronic workpieces.",0,0,,0
68,2003666936,US-5520754,complications concerning tem analysis of the δ alli phase in aluminum lithium alloys,1,,1,1,,1,2,"# All the information matched well.
# The paper talked about certain difficulties in producing Al-Li alloy of certain preferred properties, but the paptent was about how to build a low density yet high stiffness alloy. Some similarities was found but rather feeble.",0,0,,0
69,2005295696,US-5002935,anxiolytic activity of a brain delivery system for gaba,1,,2,1,,1,1,"# The information in the paper and the patent can be matched.
# The paper was about the aanxiolytic activity of GABA concerning a brain delivery system, but the patent was about making improvements in redox systems for brain-targeted drug delivery. Some silimarlities can be found but they are rather weak.",0,0,,0
70,2006485363,US-10567789,hilbert transforms along convex curves for valued functions,0,0,0,1,,0,0,"# The author-inventor information does not overlap at all.
# The paper was about mathematics and the patent electronics. They are in completely fields.",0,0,,0
71,2008915620,US-10071419,the preparation of copper fine particle paste and its application as the inner electrode material of a multilayered ceramic capacitor,1,,4,1,,3,5,"# Information of both the paper and the patent matched.
# The paper and the patent were both about copper fine particles, how toproduce them and the application of them.
# Similar titles.",0,0,,2
72,2009157757,US-9385329,high efficiency white organic light emitting diodes employing blue and red platinum emitters,1,,3,1,,3,5,"#The information match well.
# Both the paper and the patent were about the photo properties and applications of platinum complexes.
# similar titles.",0,0,,2
73,2010672954,US-8704084,optimization of amorphous silicon thin film solar cells for flexible photovoltaics,1,,3,1,,2,3,"# The information matched well.
# The paper and the patent both include a certain device used to produce the cell, but the paper covers a lot more content and other devices.",0,0,,1
74,2010874471,US-9840789,porous nickel oxide nanospindles with huge specific capacitance and long life cycle,0,0,0,1,,0,0,"# None of the names of the authors match that of the inventors.
#Both are about material science, but one about a special metal structure, one about the chemical properties of one certain metallic compound.",0,0,,0
75,2011305155,US-8339184,a novel gate boosting circuit for 2 phase high voltage cmos charge pump,1,,4,1,,3,5,"# The information match well.
# The paer and the patent are both about a certain apparatus called a gate boosting circuit.
# Similar titles,",0,0,,2
76,2012083503,CN-103193742-B,xanthatin induces cell cycle arrest at g2 m checkpoint and apoptosis via disrupting nf κb pathway in a549 non small cell lung cancer cells,1,,3,1,,1,2,"# All the information matched well.
# Both the paper and the patent was about a special chemical compound, but the patent was about the chemical derivative of that compound and their medical applications while the paper was more about the use of that compound on mitigating lung cancer.",0,0,,1
77,2014349661,CN-102452675-B,effects of temperature on the preparation of magnesium carbonate hydrates by reaction of mgcl2 with na2co3,1,,1,1,,3,5,"# All the information matched well. 
# The paper and the patent were both about a method to produce magnesium oxide.
# Similar titles.",0,0,,2
78,2015009944,US-7981609,integrative genomic analyses identify mitf as a lineage survival oncogene amplified in malignant melanoma,1,,3,1,,2,3,"# All the information matched.
# The paper and the patent both discusses using SNP to identify and analyze genomes,, but the paper was about one finding from using SNP while the patent was about the methods for using SNP to identify.",0,0,,1
79,2018384627,US-6020759,hybrid product term and lut based architectures using embedded memory blocks,1,,2,1,,1,0,"# All the information matched.
# The paper was not where the inventors developed the technology, but when they advertised a technology that has been patented before. Therefore, this should not be categorized as a PPP.",0,0,,0
80,2018384627,US-6118720,hybrid product term and lut based architectures using embedded memory blocks,1,,2,1,,2,0,"# All the information matched.
# The paper was not where the inventors developed the technology, but when they advertised a technology that has been patented before. Therefore, this should not be categorized as a PPP.",0,0,,0
81,2020367954,US-4616084,a convergent scheme for the stereoselective synthesis of 3 nor 1 oxacephems,1,,6,1,,3,5,"# The assignee and the affiliation were both a pharmaceutical company that the authors worked.
# The inventors overlapped the authors.
# Time difference less than a year,
# Both the paper and the patent were about the method to synthesize a certain chemical compound",0,0,,2
82,2020657027,CN-102775982-A,lanthanide eu3 tb3 centered mesoporous hybrids with 1 3 diphenyl 1 3 propanepione covalently linking sba 15 sba 16 and poly methylacrylic acid,0,1,0,1,,0,0,# None of the authors matched.,0,0,,0
83,2022608650,US-6696605,universal rink isonitrile resin application for the traceless synthesis of 3 acylamino imidazo 1 2 a pyridines,1,,2,1,,1,1,"# All the information matched.
# Both the paper and the patent were about how to synthesize chemical compounds from resin, but the processes were different, and the result products were different kinds of chemical compounds.",0,0,,0
84,2023096047,US-7794947,mass spectrometry based proteomics,1,,1,1,,1,2,"# The information of the paper matched that of the patent,
# The paper and the patent was both about the applications of mass spectrometry, but the paper was more about the theoretical prospect of mass spectrometry, while the patent was about how to use this to detect polypeptides.",0,0,,1
85,2023645530,US-8046280,classification of maize environments using crop simulation and geographic information systems,1,,1,1,,2,2,"# All the information matched.
# The paper is not where they developed this technology, but where they deminstrated a possible application of the technology. In the patent file the inventors made it clear that they developed this technology in an another independent research report.",0,0,,1
86,2024175644,US-7095540,influence of a perturbation in a double phase encoding system,1,,1,1,,0,0,"# All the information matched. 
# The paper was about testing the robustness of a double phase-encoding system, while the patent was about an optical security system using Fourier plane encoding.
# In the patent the inventors made it clear that they developed this technology in another paper.",0,0,,0
87,2024564709,US-7888270,extended microtunnels in gan prepared by wet chemical etch,1,,4,1,,3,5,"# All the information matched.
# The titles are similar.
# Both the patent and the paper were about the wet chemical etching method for semiconductors.",0,0,,2
88,2024579156,US-8116376,reduced resolution update mode extension to the h 264 standard,1,,6,1,,2,4,"# All the information matched well.
# The paper and the patent both talked about using resolution reduction as a decoding way.
# The same flowchart demonstrating the process was used in both places.
# The titles were very different and it does not exclude the possibility that the author developed some part of the technology elsewhere.",0,0,,2
89,2025080696,US-8685781,comparing multiple exciton generation in quantum dots to impact ionization in bulk semiconductors implications for enhancement of solar energy conversion,1,,3,1,,1,3,"# All the information matched.
# The assignee company, Alliance for Sustainable Energy, is the managing and contracting service company of NREL, where the authors are affiliated.
# The paper discussed the theoretical background and the simulations of MEG in quantum Dots, and the patent utilized that idea to build an apparatus. Therefore, it was considered as partial coverage.",0,0,,1
90,2025349315,US-8383120,what have we learnt from targeted anti tnf therapy,1,,1,1,,1,1,"# All the information matched.
# The author developed the anti-TNF therapy in the 90s and in the paper he was discussing some prospects and methodological issues of that therapy. The patent was actually about a clinicial concommitant treatment plan of that therapy combined with another medicine. These two shared some common topics but are rather weak to be considered a PPP.",0,0,"# This is a supplement, not a paper",0
91,2025996976,US-5388068,can superconductive digital systems compete with semiconductor systems,1,,6,1,,1,3,"# All the information matched in this pair.
# In the paper the authors proposed a primary challenge for superconductive digital system and theorized a possible way to build a hybrid system, and the patent tackled this issue also by using technologies that were developed before. Therefore, this is deemed as a partial coverage.",0,0,,1
92,2026036946,US-5707618,adenovirus mediated gene transfer for cystic fibrosis part a safety of dose and repeat administration in the nasal epithelium part b clinical efficacy in the maxillary sinus howard hughes medical institute iowa city iowa,1,,1,1,,1,1,"# All the information matched.
# The paper is a clinicial protocol for doctors to use, not where they developed ways to construct the Adenovirus vectors.
# Similar topics and usage was found, though, but not constitute a solid PPP.
",0,0,#This is a clinicial protocol.,1
93,2026117856,US-8229834,let s play hide and seek the location and size of undisclosed limit order volume,1,,1,1,,0,0,"# All the information matched.
# The paper was about how to discover hidden volumes of trading, while the patent provides a software to estimate agency costs.",0,0,,0
94,2033853165,US-7052915,protein identification with a single accurate mass of a cysteine containing peptide and constrained database searching,1,,1,1,,0,0,"# All the infor mation matched.
# The paper was about the identification of proteins, but the patent was about the selective labeling of phosphate groups.",0,0,,0
95,2034591492,US-6979825,detection wavelength of ingaas algaas quantum wells and superlattices,1,,2,1,,1,3,"# All the information matched well.
# In the paper the authors developed a way to calculate the absoprtion of wavelength of quantum well and built some prototypes, and in the patent he utilized the quantum wells to again built a quantum grid infrared photodetector. We can see how the patent is partially built on the paper.",0,0,,1
96,2035180333,US-7175840,high efficiency gene transfer to human cd34 cells,0,0,0,1,,0,0,"# There is no overlap of author information.
# The paper is of a supplement of reporting a fast way of gene transfer, and the patent was a method to use gene therapy to treat rheumatoid arthritis.",0,0,This is a two-page all-in-word supplement.,0
97,2036994068,US-9188798,transistor based quantum well optical modulator and its performance in rf links,1,,2,1,,1,3,"# All the information matched. 
# The inventors of the patent partially based their invention of monolithic semiconductor device on the quantum well optical modulator.",0,0,,1
98,2037174767,US-7732193,germline transmission and tissue specific expression of transgenes delivered by lentiviral vectors,1,,1,1,,1,1,"# All the information matched.
# The patent described a technology to use lentiviral vector to express small RNA molecules within a cell. The paper used that technology, which was developed elsewhere, to generate trangenic mice carrying green fluorescent genes.",0,0,This is a report.,0
99,2037449383,US-5073536,superconductivity in the rare earth free tl ba cu o system above liquid nitrogen temperature,1,,6,1,,1,3,"# All the information matched.
# In the patent the inventors described three kinds of superconductors, one of which is based on the preliminary version of the material described in the paper. Therefore, it is counted as a partial PPP.",0,0,This is a scientific letter.,1
100,2039230548,US-4914666,frequency stabilisation of fdm optical signals originating from different locations,1,,2,1,,1,3,"# All the information matched.
# The paper tabled about how to build a apparatus to stabilize FDM optical signals from different locations, while the patent utilized this technology and further built a optical frequency synthesizer.
# The paper was only a partial coverage. ",0,0,,1
101,2039353531,US-7049063,identification of lung tumor antigens for cancer immunotherapy immunological and molecular approaches,1,,3,1,,1,0,"# All the information matched.
# The paper was clear about that it is not where they developed the technology. They stated that the paper was a brief introduction of the work that they had been doing.",0,0,,0
